engine,rank,title,link,snippet,age,language,regiao,termo
brave,1,"Cotação do Bitcoin | Preço, gráfico e valor do BTC hoje | MB",https://www.mercadobitcoin.com.br/criptomoedas/bitcoin,"O Bitcoin <strong>é a primeira criptomoeda descentralizada do mundo</strong>, criada em 2009 por um desenvolvedor (ou grupo) sob o pseudônimo de Satoshi Nakamoto.","July 11, 2025",pt,br,bitcoin
brave,2,Cotação Bitcoin Hoje e Preço (BTC) - Investing.com,https://br.investing.com/crypto/bitcoin,"O Bitcoin <strong>é uma criptomoeda descentralizada baseada em blockchain, sem necessidade de intermediários</strong>. A criptografia e o consenso da rede de mineradores que validam as transações garantem a segurança do Bitcoin. Seu impacto no mundo financeiro e tecnológico é significativo, inspirando ...",3 weeks ago,pt,br,bitcoin
brave,3,Bitcoin - Wikipedia,https://en.wikipedia.org/wiki/Bitcoin,"Bitcoin (abbreviation: BTC; sign: ₿) is <strong>the first decentralized cryptocurrency</strong>. Based on a free-market ideology, bitcoin was invented in 2008 when an unknown entity published a white paper under the pseudonym of Satoshi Nakamoto. Use of bitcoin as a currency began in 2009, with the release ...",1 week ago,en,br,bitcoin
brave,4,BTC USD — Preço e Gráfico do Bitcoin,https://br.tradingview.com/symbols/BTCUSD/,Just one more step · Complete the test below to access the page,4 weeks ago,en,br,bitcoin
brave,5,Bitcoin - Dinheiro P2P de código aberto,https://bitcoin.org/pt_BR/,"Bitcoin usa a tecnologia ponto-a-ponto para operar sem a necessidade de uma autoridade central ou banco; as transações com <strong>bitcoin</strong>s são gerenciadas coletivamente pelos usuários da rede.O Bitcoin é código aberto, seu design é público, ninguém é proprietário ou controla o Bitcoin e qualquer um pode participar.",,pt,br,bitcoin
brave,6,Sua plataforma de investimentos digitais | Mercado Bitcoin,https://www.mercadobitcoin.com.br/,"Abrir sua conta no Mercado Bitcoin é simples, rápido e gratuito.","December 15, 2021",pt,br,bitcoin
brave,7,"Preço do Bitcoin | Conversor de BTC para USD, Gráfico e notícias",https://www.binance.com/pt-BR/price/bitcoin,"<strong>O preço atual do Bitcoin é de $94,632.79</strong> com uma capitalização de mercado de $1,874.43B USD. Confira o preço atual, o volume de trading, o histórico do gráfico e muito mais.",3 weeks ago,pt,br,bitcoin
brave,8,Bitcoin (BTC) ‘físico’ vale quase R$ 1 bilhão e lacre é aberto após 13 anos – Money Times,https://www.moneytimes.com.br/bitcoin-btc-fisico-vale-quase-r-1-bilhao-e-lacre-e-aberto-apos-13-anos-isbl/,"Duas moedas físicas criadas em 2011 e 2012, quando o <strong>bitcoin</strong> valia centavos, reaparecem e somam R$ 975 milhões",3 days ago,pt,br,bitcoin
brave,9,"Bitcoin (BTC) Preço, Gráfico, Capitalização de Mercado | CoinMarketCap",https://coinmarketcap.com/pt-br/currencies/bitcoin/,"O Bitcoin <strong>é uma moeda digital ponto a ponto</strong>, o que significa que toda transação ocorre diretamente entre as partes iguais e independentes, sem a necessidade de nenhum intermediário para permitir ou facilitar.",,pt,br,bitcoin
brave,10,Mergulho do bitcoin pode ser mau presságio para o mercado de ações | CNN Brasil,https://www.cnnbrasil.com.br/economia/mercado/mergulho-do-bitcoin-pode-ser-mal-pressagio-para-o-mercado-de-acoes/,"O Bitcoin caiu 7% nas últimas 24 horas, despencando de pouco menos de US$ 92.000 para aproximadamente US$ 85 mil nesta segunda-feira (1º) mais cedo.",1 week ago,pt,br,bitcoin
