rank,titulo,url,url_mobile,resumo,extract_html,thumbnail,thumbnail_width,thumbnail_height,originalimage,originalimage_width,originalimage_height,lang,dir,timestamp,description,coordinates,snippet,size,wordcount,titlesnippet,sectiontitle,termo,idioma
1,Bitcoin,https://pt.wikipedia.org/wiki/Bitcoin,https://pt.wikipedia.org/wiki/Bitcoin,"Bitcoin é uma criptomoeda descentralizada e de código aberto, um dinheiro eletrônico para transações financeiras ponto a ponto","<p><i><b>Bitcoin</b></i> é uma criptomoeda descentralizada e de código aberto, um dinheiro eletrônico para transações financeiras ponto a ponto</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Bitcoin.svg/langpt-330px-Bitcoin.svg.png,320,320,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Bitcoin.svg/langpt-120px-Bitcoin.svg.png,64,64,pt,ltr,2025-08-29T22:16:30Z,moeda digital descentralizada,," Nota: Não confundir com <span class=""searchmatch"">Bitcoin</span> Cash. <span class=""searchmatch"">Bitcoin</span> (símbolo: ₿; abreviado ISO 4217: BTC ou XBT) é uma criptomoeda descentralizada e de código aberto, um dinheiro",143315,15106,,,bitcoin,pt
2,Satoshi Nakamoto,https://pt.wikipedia.org/wiki/Satoshi_Nakamoto,https://pt.wikipedia.org/wiki/Satoshi_Nakamoto,"Satoshi Nakamoto é o pseudônimo utilizado pela pessoa ou pessoas que criaram a moeda virtual Bitcoin. Como parte da implementação, Nakamoto também desenvolveu o primeiro banco de dados de blockchain. No processo, Nakamoto foi o primeiro a resolver o problema do duplo gasto com criptomoeda usando uma rede em ponto a ponto. Nakamoto foi ativo no desenvolvimento de bitcoin até dezembro de 2010. Em 22 de maio de 2010, agora conhecido como Bitcoin Pizza Day, sua criação foi implementada por Laszlo Hanyecz quando ele concordou em pagar 10 000 Bitcoins por duas pizzas do Papa John's. Há diversas teorias a respeito de quem poderia estar por trás da verdadeira identidade de Satoshi Nakamoto, mas por enquanto são apenas especulações.","<p><b>Satoshi Nakamoto</b> é o pseudônimo utilizado pela pessoa ou pessoas que criaram a moeda virtual Bitcoin. Como parte da implementação, Nakamoto também desenvolveu o primeiro banco de dados de blockchain. No processo, Nakamoto foi o primeiro a resolver o problema do duplo gasto com criptomoeda usando uma rede em ponto a ponto. Nakamoto foi ativo no desenvolvimento de bitcoin até dezembro de 2010. Em 22 de maio de 2010, agora conhecido como <i>Bitcoin Pizza Day</i>, sua criação foi implementada por Laszlo Hanyecz quando ele concordou em pagar 10 000 Bitcoins por duas pizzas do Papa John's. Há diversas teorias a respeito de quem poderia estar por trás da verdadeira identidade de Satoshi Nakamoto, mas por enquanto são apenas especulações.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Satoshi_Nakamoto.jpg/330px-Satoshi_Nakamoto.jpg,320,363,https://upload.wikimedia.org/wikipedia/commons/7/77/Satoshi_Nakamoto.jpg,1509,1712,pt,ltr,2025-12-04T14:37:10Z,nome presumido do criador e desenvolvedor do Bitcoin,,"pseudônimo utilizado pela pessoa ou pessoas que criaram a moeda virtual <span class=""searchmatch"">Bitcoin</span>. Como parte da implementação, Nakamoto também desenvolveu o primeiro banco",27413,2956,,,bitcoin,pt
3,Mercado Bitcoin,https://pt.wikipedia.org/wiki/Mercado_Bitcoin,https://pt.wikipedia.org/wiki/Mercado_Bitcoin,"O MB (Mercado Bitcoin) é uma corretora (exchange) brasileira que realiza serviços de intermediação de compra e venda de criptomoedas por meio de uma plataforma online onde são feitas negociações e transações com Bitcoin, Ether (Ethereum), XRP (Ripple), Bitcoin Cash, Litecoin e outros criptoativos, além de depósitos e saques em Reais.
Sediada em São Paulo, a empresa foi a primeira a realizar transações de Bitcoin na América Latina e a fornecer caixa eletrônico para saque de criptomoedas no Brasil.","<p><b>O MB (Mercado Bitcoin)</b> é uma corretora (<i>exchange</i>) brasileira que realiza serviços de intermediação de compra e venda de criptomoedas por meio de uma plataforma online onde são feitas negociações e transações com Bitcoin, Ether (Ethereum), XRP (Ripple), Bitcoin Cash, Litecoin e outros criptoativos, além de depósitos e saques em Reais.
Sediada em São Paulo, a empresa foi a primeira a realizar transações de Bitcoin na América Latina e a fornecer caixa eletrônico para saque de criptomoedas no Brasil.</p>",,0,0,,0,0,pt,ltr,2025-09-21T09:52:26Z,corretora brasileira de criptoativos,,"O MB (Mercado <span class=""searchmatch"">Bitcoin</span>) é uma corretora (exchange) brasileira que realiza serviços de intermediação de compra e venda de criptomoedas por meio de uma plataforma",14860,1420,,,bitcoin,pt
4,Mineração de Bitcoin,https://pt.wikipedia.org/wiki/Minera%C3%A7%C3%A3o_de_Bitcoin,https://pt.wikipedia.org/wiki/Minera%C3%A7%C3%A3o_de_Bitcoin,"Mineração de Bitcoin é o processo de adicionar registros de transações ao livro razão público do Bitcoin, que armazena transações passadas. Este livro razão é chamado Blockchain pelo fato de ser uma cadeia de blocos de transações/registros. O Blockchain serve para confirmar transações para o resto da rede ter conhecimento, e é usado para distinguir transações de Bitcoins legítimas de tentativas de reuso de moedas.","<p><b>Mineração de Bitcoin</b> é o processo de adicionar registros de transações ao livro razão público do Bitcoin, que armazena transações passadas. Este livro razão é chamado <i>Blockchain</i> pelo fato de ser uma cadeia de blocos de transações/registros. O <i>Blockchain</i> serve para confirmar transações para o resto da rede ter conhecimento, e é usado para distinguir transações de Bitcoins legítimas de tentativas de reuso de moedas.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Bitcoin_Transaction_Visual.svg/langpt-330px-Bitcoin_Transaction_Visual.svg.png,320,201,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Bitcoin_Transaction_Visual.svg/langpt-500px-Bitcoin_Transaction_Visual.svg.png,361,227,pt,ltr,2022-12-28T17:47:31Z,,,"Mineração de <span class=""searchmatch"">Bitcoin</span> é o processo de adicionar registros de transações ao livro razão público do <span class=""searchmatch"">Bitcoin</span>, que armazena transações passadas. Este livro",17775,2503,,,bitcoin,pt
5,Litecoin,https://pt.wikipedia.org/wiki/Litecoin,https://pt.wikipedia.org/wiki/Litecoin,"Litecoin é uma criptomoeda descentralizada sustentada por uma rede peer-to-peer e um projeto de software livre lançado sob a licença MIT. O Litecoin foi fundado por Charlie Lee, um ex-engenheiro do Google, no dia 7 de outubro de 2011, inspirada e quase tecnicamente semelhante ao Bitcoin (BTC). A criação e transferência da criptomoeda está baseada num protocolo de criptografia de código aberto e não é gerida por uma autoridade central.","<p><b>Litecoin</b> é uma criptomoeda descentralizada sustentada por uma rede peer-to-peer e um projeto de software livre lançado sob a licença MIT. O Litecoin foi fundado por Charlie Lee, um ex-engenheiro do Google, no dia 7 de outubro de 2011, inspirada e quase tecnicamente semelhante ao Bitcoin (<b>BTC</b>). A criação e transferência da criptomoeda está baseada num protocolo de criptografia de código aberto e não é gerida por uma autoridade central.</p>",,0,0,,0,0,pt,ltr,2025-10-29T19:25:01Z,Criptomoeda,,"transformação devido ao impacto causado pelo <span class=""searchmatch"">Bitcoin</span>, lançado em janeiro de 2009 por Satoshi Nakamoto. O <span class=""searchmatch"">Bitcoin</span> inaugurou a era das criptomoedas, apresentando",17839,1644,,,bitcoin,pt
6,Monero,https://pt.wikipedia.org/wiki/Monero,https://pt.wikipedia.org/wiki/Monero,"Monero (XMR) é uma criptomoeda de código aberto, criada em abril de 2014, que foca em privacidade e descentralização, com carteiras disponíveis para Windows, macOS, iOS, Linux, Android e FreeBSD. Seu objetivo é ser não rastreável, oferecendo um maior grau de privacidade em relação ao Bitcoin.","<p><b>Monero (XMR)</b> é uma criptomoeda de código aberto, criada em abril de 2014, que foca em privacidade e descentralização, com carteiras disponíveis para Windows, macOS, iOS, Linux, Android e FreeBSD. Seu objetivo é ser não rastreável, oferecendo um maior grau de privacidade em relação ao Bitcoin.</p>",,0,0,,0,0,pt,ltr,2025-02-20T22:39:01Z,criptomoeda focada em privacidade e descentralização,,"rastreável, oferecendo um maior grau de privacidade em relação ao <span class=""searchmatch"">Bitcoin</span>. Assim como o <span class=""searchmatch"">Bitcoin</span>, o Monero usa um ledger público (uma blockchain) para registrar",24273,2684,,,bitcoin,pt
7,Hal Finney,https://pt.wikipedia.org/wiki/Hal_Finney,https://pt.wikipedia.org/wiki/Hal_Finney,"Harold Thomas Finney II foi um desenvolvedor de software americano. No início de sua carreira, ele foi creditado como desenvolvedor líder em vários jogos de console. Finney mais tarde trabalhou para a PGP Corporation. Ele também foi um entusiasta do bitcoin e recebeu a primeira transação de bitcoin de Satoshi Nakamoto.","<p><b>Harold Thomas Finney II</b> foi um desenvolvedor de software americano. No início de sua carreira, ele foi creditado como desenvolvedor líder em vários jogos de console. Finney mais tarde trabalhou para a PGP Corporation. Ele também foi um entusiasta do bitcoin e recebeu a primeira transação de bitcoin de Satoshi Nakamoto.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Hal_Finney_doing_math.jpg/330px-Hal_Finney_doing_math.jpg,320,322,https://upload.wikimedia.org/wikipedia/commons/5/58/Hal_Finney_doing_math.jpg,4677,4705,pt,ltr,2025-06-10T13:44:26Z,programador norte-americano,,"PGP Corporation . Ele também foi um entusiasta do <span class=""searchmatch"">bitcoin</span> e recebeu a primeira transação de <span class=""searchmatch"">bitcoin</span> de Satoshi Nakamoto. Finney nasceu em Coalinga, Califórnia",4768,666,,,bitcoin,pt
8,Vitalik Buterin,https://pt.wikipedia.org/wiki/Vitalik_Buterin,https://pt.wikipedia.org/wiki/Vitalik_Buterin,Vitalik Buterin é um escritor e programador Russo-Canadense conhecido como o co-fundador do Ethereum e também foi co-fundador da Bitcoin Magazine.,<p><b>Vitalik Buterin</b> é um escritor e programador Russo-Canadense conhecido como o co-fundador do Ethereum e também foi co-fundador da <i>Bitcoin Magazine</i>.</p>,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/VitalikButerinProfile.jpg/330px-VitalikButerinProfile.jpg,320,274,https://upload.wikimedia.org/wikipedia/commons/a/af/VitalikButerinProfile.jpg,2305,1977,pt,ltr,2025-02-20T22:39:08Z,,,"Russo-Canadense conhecido como o co-fundador do Ethereum e também foi co-fundador da <span class=""searchmatch"">Bitcoin</span> Magazine. Buterin nasceu em Kolomna, Moscow Oblast, Russia e viveu na cidade",9500,910,,,bitcoin,pt
9,El Salvador,https://pt.wikipedia.org/wiki/El_Salvador,https://pt.wikipedia.org/wiki/El_Salvador,"El Salvador ou Salvador, oficialmente República de El Salvador ou República do Salvador, é um país da América Central. Limita-se com o Oceano Pacífico, a sul, a Guatemala a oeste e Honduras a norte e leste. Sua região oriental fica na costa do Golfo de Fonseca, em frente a Nicarágua. Sua população, de acordo com dados de 2014, era de 6 279 783 habitantes, sendo o país mais densamente povoado do subcontinente. Sua área territorial, de 21 041 km², faz deste o menor país da América Central continental. Sua capital e maior cidade é San Salvador.","<p><b>El Salvador</b> ou <b>Salvador</b>, oficialmente <b>República de El Salvador</b> ou <b>República do Salvador</b>, é um país da América Central. Limita-se com o Oceano Pacífico, a sul, a Guatemala a oeste e Honduras a norte e leste. Sua região oriental fica na costa do Golfo de Fonseca, em frente a Nicarágua. Sua população, de acordo com dados de 2014, era de 6 279 783 habitantes, sendo o país mais densamente povoado do subcontinente. Sua área territorial, de 21 041 km², faz deste o menor país da América Central continental. Sua capital e maior cidade é San Salvador.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_El_Salvador.svg/langpt-330px-Flag_of_El_Salvador.svg.png,320,181,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_El_Salvador.svg/langpt-1005px-Flag_of_El_Salvador.svg.png,1005,567,pt,ltr,2025-10-26T12:31:19Z,país na América Central,,"Salvador tornou-se no primeiro país a declarar <span class=""searchmatch"">Bitcoin</span> como moeda de troca legal. A chamada &quot;Lei <span class=""searchmatch"">Bitcoin</span>&quot; foi aprovada, no Parlamento, com 62 votos de",40309,3810,,,bitcoin,pt
10,Criptomoeda,https://pt.wikipedia.org/wiki/Criptomoeda,https://pt.wikipedia.org/wiki/Criptomoeda,"Uma criptomoeda ou cibermoeda é um meio de troca, geralmente descentralizado, que se utiliza da tecnologia de blockchain e da criptografia para assegurar a validade das transações e a criação de novas unidades da moeda. O Bitcoin, a primeira criptomoeda descentralizada, foi criado em 2009 por um usuário que usou o pseudônimo Satoshi Nakamoto. Desde então, muitas outras criptomoedas foram criadas. Mais recentemente, tem-se assistido a um fenômeno de explosão de inúmeros tokens que têm sido criados com base no protocolo do Ethereum, principalmente após a onda massiva de Ofertas Iniciais de Moedas que ocorreu em 2017.","<p>Uma <b>criptomoeda</b> ou <b>cibermoeda</b> é um meio de troca, geralmente descentralizado, que se utiliza da tecnologia de blockchain e da criptografia para assegurar a validade das transações e a criação de novas unidades da moeda. O Bitcoin, a primeira criptomoeda descentralizada, foi criado em 2009 por um usuário que usou o pseudônimo Satoshi Nakamoto. Desde então, muitas outras criptomoedas foram criadas. Mais recentemente, tem-se assistido a um fenômeno de explosão de inúmeros tokens que têm sido criados com base no protocolo do Ethereum, principalmente após a onda massiva de Ofertas Iniciais de Moedas que ocorreu em 2017.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Cryptocurrency_logos.jpg/330px-Cryptocurrency_logos.jpg,320,167,https://upload.wikimedia.org/wikipedia/commons/b/b8/Cryptocurrency_logos.jpg,1920,1000,pt,ltr,2025-08-29T23:02:28Z,meio de troca digital descentralizado,,"assegurar a validade das transações e a criação de novas unidades da moeda. O <span class=""searchmatch"">Bitcoin</span>, a primeira criptomoeda descentralizada, foi criado em 2009 por um usuário",31503,3622,,,bitcoin,pt
