rank,nome,url,descricao,estrelas,watchers,forks,linguagem,criado,atualizado,pushed_at,tamanho,licenca,licenca_spdx,topics,open_issues,default_branch,archived,disabled,private,fork,owner,owner_type,owner_url,owner_avatar,has_issues,has_projects,has_wiki,has_pages,has_downloads,allow_forking,is_template,web_commit_signoff_required,visibility,forks_url,clone_url,homepage,termo
1,junipertcy/bipartiteSBM,https://github.com/junipertcy/bipartiteSBM,A Bayesian model+algorithm for community detection in bipartite networks,59,59,9,Python,2017-06-20T14:56:07Z,2025-11-04T17:06:01Z,2020-09-25T20:40:47Z,4303,GNU General Public License v3.0,GPL-3.0,"bipartite-network, clustering, heuristic, inference-engine, model-selection, stochastic-block-model",6,master,False,False,False,False,junipertcy,User,https://github.com/junipertcy,https://avatars.githubusercontent.com/u/8808414?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/junipertcy/bipartiteSBM/forks,https://github.com/junipertcy/bipartiteSBM.git,https://docs.netscied.tw/bipartiteSBM/index.html,bipa
2,jamespayor/weighted-bipartite-perfect-matching,https://github.com/jamespayor/weighted-bipartite-perfect-matching,Fast C++ implementation of an O(NM) algorithm for the assignment problem.,54,54,11,C++,2017-12-13T02:12:26Z,2025-08-23T12:55:33Z,2021-06-07T19:04:23Z,30,MIT License,MIT,,1,master,False,False,False,False,jamespayor,User,https://github.com/jamespayor,https://avatars.githubusercontent.com/u/1614508?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/jamespayor/weighted-bipartite-perfect-matching/forks,https://github.com/jamespayor/weighted-bipartite-perfect-matching.git,,bipa
3,biometry/bipartite,https://github.com/biometry/bipartite,repository for the bipartite R-package for network analysis,43,43,20,HTML,2014-10-06T13:26:44Z,2025-12-01T20:08:12Z,2025-11-28T14:16:29Z,209384,,,,3,master,False,False,False,False,biometry,Organization,https://github.com/biometry,https://avatars.githubusercontent.com/u/7467671?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/biometry/bipartite/forks,https://github.com/biometry/bipartite.git,,bipa
4,clarkkev/bipartite-link-prediction,https://github.com/clarkkev/bipartite-link-prediction,,39,39,26,Python,2014-10-24T01:16:30Z,2025-01-26T04:07:09Z,2015-08-05T02:27:07Z,114417,,,,1,master,False,False,False,False,clarkkev,User,https://github.com/clarkkev,https://avatars.githubusercontent.com/u/1091306?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/clarkkev/bipartite-link-prediction/forks,https://github.com/clarkkev/bipartite-link-prediction.git,,bipa
5,rdmpage/maximum-weighted-bipartite-matching,https://github.com/rdmpage/maximum-weighted-bipartite-matching,C++ program to compute the maximum weighted bipartite matching of a graph,38,38,14,C++,2013-03-17T09:52:54Z,2025-07-11T11:51:50Z,2022-05-27T11:01:36Z,123,,,,0,master,False,False,False,False,rdmpage,User,https://github.com/rdmpage,https://avatars.githubusercontent.com/u/83306?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/rdmpage/maximum-weighted-bipartite-matching/forks,https://github.com/rdmpage/maximum-weighted-bipartite-matching.git,,bipa
6,nicolashaan/bipak,https://github.com/nicolashaan/bipak,BiPaK is a multiplatform paging library written in Kotlin,36,36,2,Kotlin,2022-07-29T13:22:40Z,2025-06-23T06:56:55Z,2022-11-29T16:23:06Z,5794,Apache License 2.0,Apache-2.0,,0,main,False,False,False,False,nicolashaan,User,https://github.com/nicolashaan,https://avatars.githubusercontent.com/u/24221189?v=4,True,True,True,True,True,True,False,False,public,https://api.github.com/repos/nicolashaan/bipak/forks,https://github.com/nicolashaan/bipak.git,,bipa
7,pedroj/bipartite_plots,https://github.com/pedroj/bipartite_plots,"`ggbipart`, an R package for plotting bipartite networks",33,33,16,HTML,2013-07-09T21:07:57Z,2025-12-01T20:30:23Z,2025-04-01T18:43:06Z,53733,GNU General Public License v3.0,GPL-3.0,"adjacency, bipartite-networks, ecological-network, network-visualization, networks, networks-biology, plotting-bipartite-networks",1,master,False,False,False,False,pedroj,User,https://github.com/pedroj,https://avatars.githubusercontent.com/u/1200554?v=4,True,True,False,True,True,True,False,False,public,https://api.github.com/repos/pedroj/bipartite_plots/forks,https://github.com/pedroj/bipartite_plots.git,,bipa
8,BebeSparkelSparkel/biparsing,https://github.com/BebeSparkelSparkel/biparsing,Bidirectional Parsing. Work in Progress,33,33,0,Haskell,2020-03-02T18:12:01Z,2025-08-21T04:47:54Z,2024-09-23T13:00:06Z,2494,,,,5,master,False,False,False,False,BebeSparkelSparkel,User,https://github.com/BebeSparkelSparkel,https://avatars.githubusercontent.com/u/10747532?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/BebeSparkelSparkel/biparsing/forks,https://github.com/BebeSparkelSparkel/biparsing.git,,bipa
9,chaoyanghe/bipartite-graph-learning,https://github.com/chaoyanghe/bipartite-graph-learning,bipartite-graph-learning,31,31,12,Python,2019-03-05T01:31:48Z,2025-05-30T01:48:42Z,2020-02-18T04:25:00Z,950387,,,,0,master,False,False,False,False,chaoyanghe,User,https://github.com/chaoyanghe,https://avatars.githubusercontent.com/u/7238845?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/chaoyanghe/bipartite-graph-learning/forks,https://github.com/chaoyanghe/bipartite-graph-learning.git,,bipa
10,Turkcell/BIPActionSheet,https://github.com/Turkcell/BIPActionSheet,"Custom ActionSheet with image and text support, which is easy to use and modify. We developed to use in our BIP Messenger Application",30,30,0,Objective-C,2017-07-10T05:15:44Z,2021-06-03T18:41:19Z,2018-01-18T07:53:37Z,1865,MIT License,MIT,,0,master,False,False,False,False,Turkcell,Organization,https://github.com/Turkcell,https://avatars.githubusercontent.com/u/3907524?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/Turkcell/BIPActionSheet/forks,https://github.com/Turkcell/BIPActionSheet.git,,bipa
