termo_pesquisa,regiao,idioma,data_coleta,timestamp,modo,versao_script,fonte,rank,about_this_result,ad_supported,age,allow_forking,ano,app_id,archived,arxiv_id,atualizado,author,autores,autores_lista,avaliacoes,caption,categoria,categoria_id,categorias,categorias_lista,category_id,channel,channel_custom_url,channel_description,channel_id,citacoes,cliente,clone_url,comment,comment_text,comments,contains_ads,content,content_rating,coordinates,created,created_at_i,criado,currency,data,data_completa,date,default_audio_language,default_branch,default_language,definition,descricao,description,desenvolvedor,desenvolvedor_id,dir,disabled,dislikes,displayed_link,doi,duration,engine,estrelas,external_ids,extract_html,family_friendly,favorites,fields_of_study,fonte_suggest,fork,forks,forks_url,free,has_downloads,has_issues,has_pages,has_projects,has_wiki,homepage,icon,image,instalacoes,is_open_access,is_template,journal,journal_ref,lang,language,licenca,licenca_spdx,likes,linguagem,link,live_broadcast_content,meta_desc,meta_url,metodo,nome,num_points,object_id,open_access_pdf,open_issues,order,originalimage,originalimage_height,originalimage_width,owner,owner_avatar,owner_type,owner_url,pais,paper_id,parent_id,position,preco,primary_category,private,publication_date,publication_types,published,published_parsed,pushed_at,referencias,released,relevancia,relevancy_score,resumo,score,screenshots,sectiontitle,sitelinks,size,snippet,source,source_url,story_id,story_text,story_title,story_url,sugestao,summary,tags,tamanho,tentativa,termo,termo_original,thumbnail,thumbnail_default,thumbnail_height,thumbnail_high,thumbnail_maxres,thumbnail_width,tipo,title,titlesnippet,titulo,topics,updated,url,url_mobile,venue,version,video_id,views,visibility,watchers,web_commit_signoff_required,wordcount
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,AppStore-Google Play,1,,False,,,,com.binance.dev,,,,,,,39975.0,,Finanças,FINANCE,,,,,,,,,,,,,,False,,Classificação Livre,,,,,BRL,,,,,,,,"Compre, venda e mantenha criptomoedas como Bitcoin (BTC), Ether (ETH), Solana (SOL), Notcoin (NOT) e Pepe (PEPE) com segurança e taxas de trading baixas. Usada por mais de 225 milhões de usuários em todo o mundo, a Binance é a maior corretora de criptomoedas* do mundo. Aqui está o porquê:

NEGOCIE SEUS TOKENS FAVORITOS E MAIS

Negocie mais de 350 criptomoedas listadas, incluindo Bitcoin (BTC) e Ether (ETH).
Acompanhe o mercado usando alertas de preços e negocie com ferramentas de negociação avançadas. 
Configure ordens recorrentes (DCA) para comprar criptomoedas a cada hora, dia, semana ou mês.
Aproveite a melhor liquidez em cada negociação de criptomoedas. 
Compre criptomoedas e adicione fundos na sua carteira em minutos com opções de pagamento flexíveis, incluindo cartão de crédito/débito, transferências bancárias e negociação ponto a ponto (P2P).
Encontre traders líderes e reproduza suas estratégias de negociação com um toque.

GANHE RECOMPENSAS DIÁRIAS COM SEUS ATIVOS PARADOS

Ganhe recompensas com staking e rendimento de farm. Aproveite os benefícios de fazer stake de criptomoedas em ativos populares como Bitcoin (BTC). 
Use o Investimento Automático para comprar criptomoedas e obter renda passiva ao mesmo tempo.**


CORRETORA DE CRIPTO SEGURA, CONFORME E REGULADA

A Binance é a corretora de criptomoedas mais regulamentada do mundo, com licenças, registros e aprovações em diversas jurisdições. 
Todos os fundos dos usuários são mantidos 1:1 em um Fundo Seguro de Ativos dos Usuários (SAFU) no valor de US$ 1 bilhão. 
Nosso sistema é protegido com medidas de segurança de última geração, incluindo monitoramento de riscos em tempo real, protocolos KYC rigorosos e criptografia avançada de dados de ponta a ponta.


GASTE E ENVIE SEU SALDO EM CRIPTO

Use os tokens da sua carteira para comprar passagens aéreas ou fazer compras em marcas que aceitam criptomoedas.
Faça transferências de criptomoedas seguras da sua carteira para amigos e familiares em todo o mundo. 


EXPLORE O MELHOR DA WEB3, CRIPTO E BLOCKCHAIN

Obtenha conteúdo personalizado Web3, blockchain e cripto. Disponível na página inicial do seu aplicativo. 
Participe das discussões da comunidade Binance sobre as últimas tendências de blockchain e criptomoedas.
Aprenda sobre criptomoedas com cursos e artigos sobre tópicos relacionados ao Bitcoin, trading e gerenciamento de suas finanças.
Ganhe recompensas em criptomoedas aprendendo e respondendo questionários sobre como funcionam certas criptomoedas. 
Use nossa carteira Web3 integrada para interagir com segurança com dApps, obter rendimento com DeFi e negociar mais de 10.000 tokens em diferentes blockchains.


ACESSE O ATENDIMENTO AO CLIENTE 24 horas por dia, 7 dias por semana
Deixe-nos ajudá-lo em sua jornada de criptomoedas, seja você um ávido negociante de criptomoedas ou um iniciante que deseja comprar Bitcoin.
Obtenha ajuda do suporte ao cliente por chat em tempo real 24 horas por dia, 7 dias por s",,Binance Inc.,Binance+Inc.,,,,,,,,4.7946515,,,,,,,,,,True,,,,,,,https://play-lh.googleusercontent.com/PcxBU8KDqmJXKsCXVLTeQ9oenPmvmW091JpbBmrlID6gapbBr1qemZAVmHKZCalkvQ,,100.000.000+,,,,,,,,,,,https://play.google.com/store/apps/details?id=com.binance.dev,,,,,Binance: Compre BTC e Cripto,,,,,,,,,,,,,br,,,,0.0,,,,,,,,,25 de out. de 2017,,,,,"https://play-lh.googleusercontent.com/vvhCQ-b0umkGCz3ZnpzRuc-RrVZ9khVAx9lmzNLKoIwavxGlC3inBHwdtt4eDpzSpRE, https://play-lh.googleusercontent.com/CFm7k9BLVBrJsbDU_CgiiRE1elhVEi34vdJby9h6A-EoH_p6iJyr_ezOX4DJXbnVmA, https://play-lh.googleusercontent.com/9g5okLXVfJmNsPfG1v6NlsjfgA92_XQODTtInhKqBgXnmdB94kComQK0OxAPpWDBc0g, https://play-lh.googleusercontent.com/gOSxPKYWxalBAWwJ10LNprdKfsra3bRZhI9gZafsou9W5MRN89ytNtQ0MLxwC5QGzg, https://play-lh.googleusercontent.com/DzZr6c4ob6OEPF7S0ZWBcpd-QcPc68evCCVlvDjmhCxydpVd8CDSyJj1RgFExXmhcgI, https://play-lh.googleusercontent.com/pHam03TfJSj43fjt6VwAHS7LSUaZzWrzRZsT_jZg_L2-_ge4L3_SDMN1OFv6lvxsEAM1, https://play-lh.googleusercontent.com/S4gIsB9Mh85qsn_q2BbzXuPtagEJ7_3YUSLW8ybL7kaVz28Ibjx72oRabn9BxzC7UMoU, https://play-lh.googleusercontent.com/9K9PPko2Q2-MHoSp04YxmuydGV-xOhdBb69jAb-JEjbZCcblGRXPf8_yoKT9S2aA1w, https://play-lh.googleusercontent.com/_hLrDusNJ4SVzTImFLq_3lz9b9JMVvgje7ySAaAAPf9ypWPhKHHa5CAAhKV3Ujb-Qpdv, https://play-lh.googleusercontent.com/Lrl4aZWuSY55cEo9-ExaRX3HwVN53AYQBXkh263S5Y_Ce_eyUXh2e5AisH7o-_Lw0Q",,,,,,,,,,,,Acesse a maior corretora cripto* e carteira web3 a qualquer hora e lugar.,,,1.0,bitcoin,,,,,,,,,,,,,1765348367,,,,3.7.4,,,,,,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,AppStore-Google Play,2,,True,,,,com.bitcoin.mwallet,,,,,,,348.0,,Finanças,FINANCE,,,,,,,,,,,,,,True,,Classificação Livre,,,,,BRL,,,,,,,,"Bitcoin.com Wallet: Sua Carteira DeFi de Bitcoin e Cripto com Autocustódia
A carteira multichain mais segura e fácil de usar que dá a você controle total sobre seus ativos.

Compre, venda, envie, receba e troque criptomoedas populares:
Bitcoin (BTC), Bitcoin Cash (BCH), Ethereum (ETH), Avalanche (AVAX), Polygon (MATIC), BNB Smart Chain (BNB), ZANO, fUSD e tokens ERC-20 selecionados. Pague com cartão de crédito, Google Pay e muito mais. Compatível com stablecoins como USDT, USDC, DAI, fUSD e outras.

Principais recursos:

Carteira cripto com autocustódia
Você controla suas chaves privadas e seus ativos — nem mesmo a Bitcoin.com pode acessá-los. Sem custodiante, sem bloqueios, sem risco de terceiros. Transfira suas criptos para qualquer carteira a qualquer momento.

Carteira DeFi não custodial
Conecte-se a DApps no Ethereum, Avalanche, Polygon e BNB Smart Chain usando o WalletConnect. Acesse as finanças descentralizadas: ganhe rendimento, forneça liquidez, empreste, tome empréstimos e interaja com DAOs e marketplaces de NFTs.

Compatível com multichain e cross-chain
Gerencie ativos em várias blockchains em um só aplicativo. Troque facilmente entre cadeias e acompanhe seu portfólio multichain.

Acesso rápido e seguro
Proteja sua carteira com impressão digital, Face ID ou PIN. Funciona perfeitamente em dispositivos Android. Ideal para pagamentos do dia a dia e armazenamento de longo prazo.

Backup em nuvem ou frases-semente manuais
Faça backup na nuvem com uma única senha mestra ou guarde suas frases-semente manualmente, como preferir.

Taxas de rede personalizadas
Defina suas próprias taxas de gás. Pague mais por velocidade ou economize quando não tiver pressa. Funciona com Bitcoin, Ethereum e todas as cadeias compatíveis.

Blockchains de baixo custo para DeFi e pagamentos
Use Bitcoin Cash, Polygon e BNB Smart Chain para pagamentos P2P, negociações e contratos inteligentes com taxas mínimas.

Suporte para ZANO e fUSD
Envie, receba, armazene e gerencie ZANO — o token nativo da blockchain Zano voltada para privacidade. Use tokens como fUSD (stablecoin privada) para pagamentos anônimos e sem censura. O Zano utiliza assinaturas em anel, endereços furtivos e memorandos criptografados por padrão.

Suporte para Ethereum, Avalanche, Polygon e BNB Smart Chain
Compre, venda, troque e gerencie ETH, AVAX, MATIC, BNB e seus tokens. Acesse protocolos DeFi rápidos, jogos NFT, trocas de baixo custo, yield farms e contratos inteligentes quase sem taxas de gás.

Carteiras multisig para equipes e famílias
Crie carteiras com múltiplas assinaturas para acesso compartilhado. Ideal para DAOs, poupanças familiares e tesourarias de empresas.

Widgets ao vivo
Adicione widgets de preços de criptos em tempo real à tela inicial.

Visão de mercado
Acompanhe preços, valor de mercado e volume das principais criptos como Solana, DOGE, SHIB, XRP e outras.

Notas e etiquetas
Adicione notas às transações para contabilidade, lembretes ou reg",,Bitcoin.com Developer,Bitcoin.com+Developer,,,,,,,,4.5897436,,,,,,,,,,True,,,,,,,https://play-lh.googleusercontent.com/UR2llx50nIVzw1l8OMZ2feCjyb4HOYtENKRG-9Ep4xSHpPTbVuG1875s3oqBzVGVQtSH,,10.000.000+,,,,,,,,,,,https://play.google.com/store/apps/details?id=com.bitcoin.mwallet,,,,,Carteira DeFi Bitcoin e Cripto,,,,,,,,,,,,,br,,,,0.0,,,,,,,,,19 de jun. de 2017,,,,,"https://play-lh.googleusercontent.com/xThCeJNdomn03x4mLX_oAWR7V13mmMvmJscuMleUQlJAkGCYesVoa9Uagp15x_xAMeA0SpGH0kelRweFknTRNrA, https://play-lh.googleusercontent.com/WkzVjz59SpZYPzUE0RM68HXWpIGE6PzYZQJC1AydaEVYy0pWGkL2kfTXSjYa9xvqS3AHkzJrULZFV_TxuW6_Yw, https://play-lh.googleusercontent.com/Fn8FwHdTWpIpJmmvBziBpPqEW_cwTH-csMnqYbNBP8ixyCJR0AixwoZ0C0mXfnET9levwJQmjGVCK9s-txVaLA, https://play-lh.googleusercontent.com/RIXRFYnaknZiJCd359oQQq6Fx0KmWyRs6otZ4jWuD4SsnPIEP5lxL_CUxiWD7fUwrRDOiKdnxuGOIY9kJDWuEg, https://play-lh.googleusercontent.com/ljGug5STXuITT6CbxGBhveGe_zMMCfx7sX6JtY0VymcWbgnxrUVHll6pOdfXHEVVE3F2Ls6zYXcYbZwu8Xzv_w, https://play-lh.googleusercontent.com/8hvPNUa6O1RRTCeqE4hrpkZdMBmhnQ-_6XHrfrJRPenN54gm9GhwK1L_gqBknie5K5nESmOBcFTfCaSlLWd2CQ, https://play-lh.googleusercontent.com/0XjcQlTXP0Xe5RcoNXepiKQWK92vOw8NouvrIcV6ecUvq4jv_2kt3nC0fWKUNgFiAhy0R0HfEZHM4ANEP-WI",,,,,,,,,,,,"Compre, venda, troque, invista e ganhe criptomoeda. BTC, BCH, ETH e muito mais!",,,1.0,bitcoin,,,,,,,,,,,,,1765250151,,,,9.2.1,,,,,,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,AppStore-Google Play,3,,False,,,,br.com.mercadobitcoin.android,,,,,,,20475.0,,Finanças,FINANCE,,,,,,,,,,,,,,False,,Classificação Livre,,,,,BRL,,,,,,,,"Negocie bitcoin (BTC), ethereum (ETH), XRP (XRP), tether (USDT), dogecoin (DOGE), solana (SOL) e outras criptomoedas na maior e mais segura plataforma de ativos digitais do Brasil. 

São diversas opções para ampliar seus investimentos, incluindo Renda Fixa Digital, Renda Fixa Variável, Crédito e Renda Passiva. Abra sua conta no MB e comece em poucos cliques!

<b>Por que escolher o MB?</b>
• Especialistas no segmento, com mais de 12 anos de experiência 
•Plataforma intuitiva, com saldo em reais e visão completa dos ativos
• Gráficos de preços em tempo real para tomar decisões com confiança
• Facilidade para compra e venda de criptoativos
• Atendimento 24/7 e feito por pessoas, não robôs 
• Selo RA 1.000 de excelência em atendimento ao cliente, concedido pelo Reclame Aqui
• Segurança reforçada com autenticação biométrica
• Ordens de compra e venda com a cotação atualizadas instantaneamente

Conheça as categorias disponíveis para você investir com segurança e inteligência:

<b>Criptomoedas</b>
Aqui é o lugar certo para investir em cripto! Tenha acesso a bitcoin (BTC), ethereum (ETH), XRP, tether (USDT), dogecoin (DOGE), solana (SOL), memecoins e outras centenas de criptomoedas. As criptos funcionam como meio de troca, reserva de valor e unidade de conta, ideais para diversificação de patrimônio.

<b>Renda Fixa Digital</b>
Invista na Renda Fixa Digital com previsibilidade e segurança. Aproveite a taxa zero e dinheiro na conta com prazos flexíveis para mais previsibilidade e risco controlado para sua carteira.

<b>Renda Variável Digital</b>
Descubra ativos inovadores e diversificados. Invista em setores de startups, participe da performance de atletas e explore novas oportunidades com possibilidades de ganhos exponenciais.

<b>Tokens e DeFi</b>
Expanda sua carteira com tokens e explore o universo DeFi. Aproveite a variedade de ativos digitais para criar estratégias modernas de investimento, com segurança e transparência.

<b>Dólar Digital e Stablecoins</b>
Stablecoins são criptomoedas estáveis, atreladas a ativos reais, como o dólar, euro, real e commodities. Combine variação e inovação, sem abrir mão da estabilidade e segurança! Além disso, oferece uma grande oportunidade de diversificação com dólar digital, uma das moedas mais fortes do mundo. 

<b>Renda Passiva</b>
Coloque suas criptomoedas para gerar renda passiva. Faça staking de ADA, ETH, CHZ,  NEAR, SOL, USDC ou USDT e CHZ e receba recompensas diárias sem precisar vender ativos.

<b>Cesta Inteligente</b>
Simplifica o investimento em criptomoedas, com uma estratégia pronta e com rebalanceamento automático, permitindo uma diversificação eficiente sem a complexidade da gestão manual. São diversos portfólios prontos para você adicionar a sua estratégia! 

Com mais de 4 milhões de clientes, o MB é referência em ativos digitais na América Latina!

Agora é a hora de ter bitcoin (BTC), ethereum (ETH), XRP, tether (USDT), dogecoin (DOGE),  Solana (SOL), diversas op",,MERCADO BITCOIN SERVICOS DIGITAIS LTDA,6932869437920417400,,,,,,,,4.5433426,,,,,,,,,,True,,,,,,,https://play-lh.googleusercontent.com/GcNJiyiih8pbePtHoUAh3sVOxv1LCh6O35fFAb0fQXeH31QsyiHphXVD7yvAZyPnTQo,,1.000.000+,,,,,,,,,,,https://play.google.com/store/apps/details?id=br.com.mercadobitcoin.android,,,,,MB | Mercado Bitcoin: criptos,,,,,,,,,,,,,br,,,,0.0,,,,,,,,,11 de set. de 2018,,,,,"https://play-lh.googleusercontent.com/AyZTDDG639U3JD7QKDyvvfWpwcrgTi0Y7JswYMRHa-UcLMTSbzI9bHIVzSm_jkZcgQ, https://play-lh.googleusercontent.com/0XrBKjze-xkVw1Q6jensxAjRSeRlwxE9jpityp3btp1USA-ki7SeCmdq_X8j74JaCGc, https://play-lh.googleusercontent.com/PlEkx5N7K4cAiqrHDAvJTWqKTKd2yYFcD4NAOFbNpKH_INTUDrywkemHf2LM9wvk-Wj-, https://play-lh.googleusercontent.com/xnY_Yh2XtPav1fD-ncovkGCr_9qlCFx74jKiDA5_Eoqzin04ol4xMRYDymyREcfLeow, https://play-lh.googleusercontent.com/thE0PY5HfZ1t1Nutml525Evhr3U09osPdmoOdqoea4evWz7zO2Ufd6yKslv7q5TSftOr, https://play-lh.googleusercontent.com/80N3h7388WdC38YR_HIWuKam2jGgZgv2mZgy72DNizZ-vCfb6wmIuXE5u8QJ6YqM4g, https://play-lh.googleusercontent.com/N67-hlrUGHoeYKssUpYV6JmtWvz0P8KGykOxLBIToAC8M658I6g-oz55KHvVQmD6T2A",,,,,,,,,,,,"Invista em bitcoin, criptomoedas, renda fixa e diversifique seus investimentos!",,,1.0,bitcoin,,,,,,,,,,,,,1765405233,,,,2.92.0,,,,,,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,GitHub,1,,,,True,,,False,,2025-12-12T07:05:07Z,,,,,,,,,,,,,,,,,https://github.com/bitcoin/bitcoin.git,,,,,,,,,,2010-12-19T15:16:43Z,,,,,,master,,,Bitcoin Core integration/staging tree,,,,,False,,,,,,87195.0,,,,,,,False,38341.0,https://api.github.com/repos/bitcoin/bitcoin/forks,,False,True,False,True,False,https://bitcoincore.org/en/download,,,,,False,,,,,MIT License,MIT,,C++,,,,,,bitcoin/bitcoin,,,,714.0,,,,,bitcoin,https://avatars.githubusercontent.com/u/528860?v=4,Organization,https://github.com/bitcoin,,,,,,,False,,,,,2025-12-11T19:56:24Z,,,,,,,,,,,,,,,,,,,,,300294.0,,bitcoin,,,,,,,,,,,,"bitcoin, c-plus-plus, cryptocurrency, cryptography, p2p",,https://github.com/bitcoin/bitcoin,,,,,,public,87195.0,False,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,GitHub,2,,,,True,,,False,,2025-12-12T07:32:48Z,,,,,,,,,,,,,,,,,https://github.com/freqtrade/freqtrade.git,,,,,,,,,,2017-05-17T23:48:53Z,,,,,,develop,,,"Free, open source crypto trading bot",,,,,False,,,,,,45228.0,,,,,,,False,9387.0,https://api.github.com/repos/freqtrade/freqtrade/forks,,True,True,True,True,True,https://www.freqtrade.io,,,,,False,,,,,GNU General Public License v3.0,GPL-3.0,,Python,,,,,,freqtrade/freqtrade,,,,45.0,,,,,freqtrade,https://avatars.githubusercontent.com/u/37536846?v=4,Organization,https://github.com/freqtrade,,,,,,,False,,,,,2025-12-12T05:54:33Z,,,,,,,,,,,,,,,,,,,,,663031.0,,bitcoin,,,,,,,,,,,,"algorithmic-trading, bitcoin, cryptocurrencies, cryptocurrency, freqtrade, python, telegram-bot, trade, trading-bot",,https://github.com/freqtrade/freqtrade,,,,,,public,45228.0,False,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,GitHub,3,,,,True,,,False,,2025-12-12T04:43:55Z,,,,,,,,,,,,,,,,,https://github.com/ccxt/ccxt.git,,,,,,,,,,2017-05-14T15:41:56Z,,,,,,master,,,A cryptocurrency trading API with more than 100 exchanges in JavaScript / TypeScript / Python / C# / PHP / Go ,,,,,False,,,,,,40157.0,,,,,,,False,8411.0,https://api.github.com/repos/ccxt/ccxt/forks,,True,True,True,True,True,https://docs.ccxt.com,,,,,False,,,,,MIT License,MIT,,Python,,,,,,ccxt/ccxt,,,,1303.0,,,,,ccxt,https://avatars.githubusercontent.com/u/31901609?v=4,Organization,https://github.com/ccxt,,,,,,,False,,,,,2025-12-12T00:40:26Z,,,,,,,,,,,,,,,,,,,,,5880497.0,,bitcoin,,,,,,,,,,,,"altcoin, api, arbitrage, bitcoin, bot, btc, crypto, cryptocurrencies, cryptocurrency, eth, ethereum, exchange, invest, library, market-data, memecoin, merchant, strategy, trade, trading",,https://github.com/ccxt/ccxt,,,,,,public,40157.0,False,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,GitHub,4,,,,True,,,False,,2025-12-12T06:59:15Z,,,,,,,,,,,,,,,,,https://github.com/bitcoinbook/bitcoinbook.git,,,,,,,,,,2013-08-11T23:18:28Z,,,,,,develop,,,Mastering Bitcoin 3rd Edition - Programming the Open Blockchain,,,,,False,,,,,,24937.0,,,,,,,False,6202.0,https://api.github.com/repos/bitcoinbook/bitcoinbook/forks,,True,True,False,False,False,https://aantonop.com/books,,,,,False,,,,,Other,NOASSERTION,,HTML,,,,,,bitcoinbook/bitcoinbook,,,,188.0,,,,,bitcoinbook,https://avatars.githubusercontent.com/u/5091621?v=4,Organization,https://github.com/bitcoinbook,,,,,,,False,,,,,2024-12-26T18:18:32Z,,,,,,,,,,,,,,,,,,,,,62974.0,,bitcoin,,,,,,,,,,,,"bitcoin, bitcoin-api, blockchain, oreilly, oreilly-books",,https://github.com/bitcoinbook/bitcoinbook,,,,,,public,24937.0,False,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,GitHub,5,,,,True,,,False,,2025-12-11T11:20:51Z,,,,,,,,,,,,,,,,,https://github.com/HelloZeroNet/ZeroNet.git,,,,,,,,,,2015-01-12T00:41:38Z,,,,,,py3,,,ZeroNet - Decentralized websites using Bitcoin crypto and BitTorrent network,,,,,False,,,,,,18700.0,,,,,,,False,2289.0,https://api.github.com/repos/HelloZeroNet/ZeroNet/forks,,True,True,False,True,True,https://zeronet.io,,,,,False,,,,,Other,NOASSERTION,,JavaScript,,,,,,HelloZeroNet/ZeroNet,,,,776.0,,,,,HelloZeroNet,https://avatars.githubusercontent.com/u/10350359?v=4,User,https://github.com/HelloZeroNet,,,,,,,False,,,,,2024-01-31T07:47:58Z,,,,,,,,,,,,,,,,,,,,,13772.0,,bitcoin,,,,,,,,,,,,"anonymity, anticensorship, bitcoin, bittorrent, decentralized, internet-freedom, p2p, python, realtime, tor, torrent, web",,https://github.com/HelloZeroNet/ZeroNet,,,,,,public,18700.0,False,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,GitHub,6,,,,True,,,False,,2025-12-12T05:36:49Z,,,,,,,,,,,,,,,,,https://github.com/bbfamily/abu.git,,,,,,,,,,2016-09-19T15:31:53Z,,,,,,master,,,阿布量化交易系统(股票，期权，期货，比特币，机器学习) 基于python的开源量化交易，量化投资架构,,,,,False,,,,,,15560.0,,,,,,,False,4307.0,https://api.github.com/repos/bbfamily/abu/forks,,True,False,False,True,True,http://www.abuquant.com/,,,,,False,,,,,GNU General Public License v3.0,GPL-3.0,,Python,,,,,,bbfamily/abu,,,,3.0,,,,,bbfamily,https://avatars.githubusercontent.com/u/6149331?v=4,User,https://github.com/bbfamily,,,,,,,False,,,,,2025-03-11T05:57:03Z,,,,,,,,,,,,,,,,,,,,,96507.0,,bitcoin,,,,,,,,,,,,"algorithmic-trading, bitcoin, machine-learning, matplotlib, numpy, pandas, quant, quantitative-trading, stock, trade, trading",,https://github.com/bbfamily/abu,,,,,,public,15560.0,False,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,GitHub,7,,,,True,,,False,,2025-12-12T07:25:20Z,,,,,,,,,,,,,,,,,https://github.com/UFund-Me/Qbot.git,,,,,,,,,,2022-11-23T01:37:43Z,,,,,,main,,,[🔥updating ...] AI 自动量化交易机器人(完全本地部署) AI-powered Quantitative Investment Research Platform. 📃 online docs: https://ufund-me.github.io/Qbot   ✨ :news: qbot-mini: https://github.com/Charmve/iQuant,,,,,False,,,,,,15371.0,,,,,,,False,2192.0,https://api.github.com/repos/UFund-Me/Qbot/forks,,True,True,True,True,True,https://github.com/Charmve,,,,,False,,,,,MIT License,MIT,,Jupyter Notebook,,,,,,UFund-Me/Qbot,,,,70.0,,,,,UFund-Me,https://avatars.githubusercontent.com/u/75005393?v=4,Organization,https://github.com/UFund-Me,,,,,,,False,,,,,2025-07-06T12:49:31Z,,,,,,,,,,,,,,,,,,,,,405761.0,,bitcoin,,,,,,,,,,,,"backtest, bitcoin, blockchain, deep-learning, fintech, funds, machine-learning, pytrade, qlib, quant-trade, quant-trader, quantitative-finance, quantitative-trading, quantization, strategies, trade-bot, trademarks",,https://github.com/UFund-Me/Qbot,,,,,,public,15371.0,False,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,GitHub,8,,,,True,,,False,,2025-12-12T03:41:51Z,,,,,,,,,,,,,,,,,https://github.com/hummingbot/hummingbot.git,,,,,,,,,,2019-04-02T21:41:52Z,,,,,,master,,,Open source software that helps you create and deploy high-frequency crypto trading bots,,,,,False,,,,,,15312.0,,,,,,,False,4194.0,https://api.github.com/repos/hummingbot/hummingbot/forks,,True,True,False,True,False,https://hummingbot.org,,,,,False,,,,,Apache License 2.0,Apache-2.0,,Python,,,,,,hummingbot/hummingbot,,,,308.0,,,,,hummingbot,https://avatars.githubusercontent.com/u/88165212?v=4,Organization,https://github.com/hummingbot,,,,,,,False,,,,,2025-12-10T14:20:27Z,,,,,,,,,,,,,,,,,,,,,560019.0,,bitcoin,,,,,,,,,,,,"algotrading, arbitrage, backtesting, bitcoin, bot, crypto, cryptocurrency, cython, dex, docker, ethereum, hft, marketmaking, orderbook, python, trading",,https://github.com/hummingbot/hummingbot,,,,,,public,15312.0,False,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,GitHub,9,,,,True,,,True,,2025-12-12T00:05:45Z,,,,,,,,,,,,,,,,,https://github.com/solana-labs/solana.git,,,,,,,,,,2018-02-14T04:26:27Z,,,,,,master,,,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",,,,,False,,,,,,14683.0,,,,,,,False,5418.0,https://api.github.com/repos/solana-labs/solana/forks,,True,True,False,True,True,https://solanalabs.com,,,,,False,,,,,Apache License 2.0,Apache-2.0,,Rust,,,,,,solana-labs/solana,,,,265.0,,,,,solana-labs,https://avatars.githubusercontent.com/u/35608259?v=4,Organization,https://github.com/solana-labs,,,,,,,False,,,,,2025-01-22T19:41:54Z,,,,,,,,,,,,,,,,,,,,,448781.0,,bitcoin,,,,,,,,,,,,"bitcoin, blockchain, ledger, performance-blockchain, rust, rustc, solana",,https://github.com/solana-labs/solana,,,,,,public,14683.0,False,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,GitHub,10,,,,True,,,False,,2025-12-12T04:00:15Z,,,,,,,,,,,,,,,,,https://github.com/bitcoin/bips.git,,,,,,,,,,2013-11-19T17:18:41Z,,,,,,master,,,Bitcoin Improvement Proposals,,,,,False,,,,,,10413.0,,,,,,,False,5834.0,https://api.github.com/repos/bitcoin/bips/forks,,True,False,False,False,True,,,,,,False,,,,,,,,Wikitext,,,,,,bitcoin/bips,,,,70.0,,,,,bitcoin,https://avatars.githubusercontent.com/u/528860?v=4,Organization,https://github.com/bitcoin,,,,,,,False,,,,,2025-12-09T16:33:04Z,,,,,,,,,,,,,,,,,,,,,18482.0,,bitcoin,,,,,,,,,,,,,,https://github.com/bitcoin/bips,,,,,,public,10413.0,False,
