rank,nome,url,descricao,estrelas,watchers,forks,linguagem,criado,atualizado,pushed_at,tamanho,licenca,topics,open_issues,default_branch,archived,disabled,private,fork,owner,owner_type,termo
1,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,Bitcoin Core integration/staging tree,87194,87194,38339,C++,2010-12-19T15:16:43Z,2025-12-12T02:01:56Z,2025-12-11T19:56:24Z,300294,MIT License,"bitcoin, c-plus-plus, cryptocurrency, cryptography, p2p",714,master,False,False,False,False,bitcoin,Organization,bitcoin
2,freqtrade/freqtrade,https://github.com/freqtrade/freqtrade,"Free, open source crypto trading bot",45225,45225,9387,Python,2017-05-17T23:48:53Z,2025-12-11T20:02:52Z,2025-12-11T17:24:03Z,662990,GNU General Public License v3.0,"algorithmic-trading, bitcoin, cryptocurrencies, cryptocurrency, freqtrade, python, telegram-bot, trade, trading-bot",44,develop,False,False,False,False,freqtrade,Organization,bitcoin
3,ccxt/ccxt,https://github.com/ccxt/ccxt,A cryptocurrency trading API with more than 100 exchanges in JavaScript / TypeScript / Python / C# / PHP / Go ,40154,40154,8411,Python,2017-05-14T15:41:56Z,2025-12-11T20:59:09Z,2025-12-12T00:40:26Z,5880497,MIT License,"altcoin, api, arbitrage, bitcoin, bot, btc, crypto, cryptocurrencies, cryptocurrency, eth, ethereum, exchange, invest, library, market-data, memecoin, merchant, strategy, trade, trading",1303,master,False,False,False,False,ccxt,Organization,bitcoin
4,bitcoinbook/bitcoinbook,https://github.com/bitcoinbook/bitcoinbook,Mastering Bitcoin 3rd Edition - Programming the Open Blockchain,24935,24935,6201,HTML,2013-08-11T23:18:28Z,2025-12-11T15:16:18Z,2024-12-26T18:18:32Z,62974,Other,"bitcoin, bitcoin-api, blockchain, oreilly, oreilly-books",188,develop,False,False,False,False,bitcoinbook,Organization,bitcoin
5,HelloZeroNet/ZeroNet,https://github.com/HelloZeroNet/ZeroNet,ZeroNet - Decentralized websites using Bitcoin crypto and BitTorrent network,18700,18700,2289,JavaScript,2015-01-12T00:41:38Z,2025-12-11T11:20:51Z,2024-01-31T07:47:58Z,13772,Other,"anonymity, anticensorship, bitcoin, bittorrent, decentralized, internet-freedom, p2p, python, realtime, tor, torrent, web",776,py3,False,False,False,False,HelloZeroNet,User,bitcoin
6,bbfamily/abu,https://github.com/bbfamily/abu,阿布量化交易系统(股票，期权，期货，比特币，机器学习) 基于python的开源量化交易，量化投资架构,15558,15558,4306,Python,2016-09-19T15:31:53Z,2025-12-12T01:18:00Z,2025-03-11T05:57:03Z,96507,GNU General Public License v3.0,"algorithmic-trading, bitcoin, machine-learning, matplotlib, numpy, pandas, quant, quantitative-trading, stock, trade, trading",3,master,False,False,False,False,bbfamily,User,bitcoin
7,UFund-Me/Qbot,https://github.com/UFund-Me/Qbot,[🔥updating ...] AI 自动量化交易机器人(完全本地部署) AI-powered Quantitative Investment Research Platform. 📃 online docs: https://ufund-me.github.io/Qbot   ✨ :news: qbot-mini: https://github.com/Charmve/iQuant,15367,15367,2192,Jupyter Notebook,2022-11-23T01:37:43Z,2025-12-12T01:45:05Z,2025-07-06T12:49:31Z,405761,MIT License,"backtest, bitcoin, blockchain, deep-learning, fintech, funds, machine-learning, pytrade, qlib, quant-trade, quant-trader, quantitative-finance, quantitative-trading, quantization, strategies, trade-bot, trademarks",70,main,False,False,False,False,UFund-Me,Organization,bitcoin
8,hummingbot/hummingbot,https://github.com/hummingbot/hummingbot,Open source software that helps you create and deploy high-frequency crypto trading bots,15312,15312,4193,Python,2019-04-02T21:41:52Z,2025-12-11T17:45:26Z,2025-12-10T14:20:27Z,560019,Apache License 2.0,"algotrading, arbitrage, backtesting, bitcoin, bot, crypto, cryptocurrency, cython, dex, docker, ethereum, hft, marketmaking, orderbook, python, trading",308,master,False,False,False,False,hummingbot,Organization,bitcoin
9,solana-labs/solana,https://github.com/solana-labs/solana,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",14683,14683,5417,Rust,2018-02-14T04:26:27Z,2025-12-12T00:05:45Z,2025-01-22T19:41:54Z,448781,Apache License 2.0,"bitcoin, blockchain, ledger, performance-blockchain, rust, rustc, solana",265,master,True,False,False,False,solana-labs,Organization,bitcoin
10,bitcoin/bips,https://github.com/bitcoin/bips,Bitcoin Improvement Proposals,10411,10411,5834,Wikitext,2013-11-19T17:18:41Z,2025-12-11T21:14:24Z,2025-12-09T16:33:04Z,18482,,,70,master,False,False,False,False,bitcoin,Organization,bitcoin
