"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"Paulo.8","https://itunes.apple.com/br/reviews/id1244073266","5","Excellent and popular tool","Easy to import public keys, to follow updates, and more. It would be wonderful if it had an option for users to set notifications on bitcoin price oscillations (trading-like functions, just for monitoring).","0","2025-10-20T15:18:48-07:00","13292870480","7.2.0","0","3","Melhores avaliadas"
"Xuxubtc","https://itunes.apple.com/br/reviews/id1473097323","5","Simples fácil e seguro","Minha segurança desde 2019 e esse app","0","2025-05-30T16:50:42-07:00","12717341109","7.1.9","0","3","Melhores avaliadas"
"conradotorquato","https://itunes.apple.com/br/reviews/id231121437","5","Bug ao ler QRCODE lightning","Ao ler o QRCODE de um invoice da blink, o código não é repassado para o app, apesar do QRCODE ser lido. Tenho um nodo na Voltage e importei minha carteira lnbits usando a extensão LNDHub. Antes funcionava de boa mas agora parou. Testei em outros aparelhos com novas carteiras lnbits e acontece a mesma coisa.","0","2025-05-27T14:31:37-07:00","12705501596","7.1.9","0","3","Melhores avaliadas"
"Rogeriofdsouza","https://itunes.apple.com/br/reviews/id412434922","4","Plausible deniability password","Both passwords show bitcoins and transactions. Bug!","0","2025-07-09T15:40:11-07:00","12872948031","7.1.9","0","3","Melhores avaliadas"
"iphone8br","https://itunes.apple.com/br/reviews/id619963480","3","Moeda btc","No geral é bom, porém sumiu a moeda btc","1","2025-11-03T08:21:24-07:00","13351774667","7.2.0","0","3","Melhores avaliadas"
"hahsbdushsh","https://itunes.apple.com/br/reviews/id1257812436","3","Muitos BUGS","Estou enfrentando diversos problemas com o funcionamento do BlueWallet. O aplicativo está extremamente instável: trava com frequência, apresenta falhas tanto no envio quanto no recebimento de bitcoins e, muitas vezes, simplesmente “funciona quando quer”. Isso compromete bastante a confiabilidade da carteira.

Outro ponto muito preocupante é em relação à privacidade. Mesmo após apagar os dados e fechar o aplicativo, ao abrir novamente, as informações continuam salvas. Isso vai contra o princípio básico de segurança e privacidade que se espera de uma carteira de Bitcoin.

Espero que esses problemas sejam resolvidos em breve, pois gosto da proposta do BlueWallet, mas, no momento, está impossível utilizá-lo com segurança e confiança.","0","2025-06-02T09:52:07-07:00","12728011550","7.1.9","0","3","Melhores avaliadas"
"Jos0948:&","https://itunes.apple.com/br/reviews/id1814434483","2","Meu saldo em reais ficou bem a menos do que estava depois de uma atualização","Meu saldo diminuiu pós uma atualização","0","2025-10-03T06:11:15-07:00","13218065937","7.2.0","0","3","Melhores avaliadas"
"Ld0nn","https://itunes.apple.com/br/reviews/id1441093442","2","Mtos bugs","Carteira com mtos bugs. Ao excluir uma carteira, depois de fechar e abrir o aplicativo, ela reaparece.

Ao mudar o nome de uma carteira, tudo volta ao estado anterior dps abrir e fechar o aplicativo.

Atualmente a usabilidade está péssima.","0","2025-07-07T07:26:45-07:00","12863406962","7.1.9","0","3","Melhores avaliadas"
"saulo c","https://itunes.apple.com/br/reviews/id415916563","1","Não está funcionando direito","Não está funcionando direito a opção enviar Bitcoin","0","2025-09-09T05:08:53-07:00","13116929930","7.2.0","0","3","Melhores avaliadas"
"Professor Zé Augusto","https://itunes.apple.com/br/reviews/id1281288432","1","Péssima carteira","Transformou minha carteira de transação em Watch-0nly e não consigo
 fazer nada! PÉSSIMA CARTEIRA…","0","2025-04-30T17:32:59-07:00","12604802081","7.1.5","0","3","Melhores avaliadas"
