author,rating,title,content,votes,date
fabiojgomes,1,Dificuldade para sacar valores,"Muito facil de depositar, porém na hora de sacar, mesmo atendendo aos critérios de valor mínimo e gás, não deixa o saque acontecer e pede para contatar o suporte. Já foi boa, hoje é pedir para ter prejuízo.",0,2025-11-26T10:28:22-07:00
Vanitasqwl,5,Vanitas,Muito boa amei,0,2025-11-25T04:37:00-07:00
fuçadinho2025,5,Fácil de usar,Extremamente fácil de usar,0,2025-11-20T07:58:14-07:00
Paraty8,2,Taxas altas,"As taxas são muito altas no geral, você tem sempre que estar colocando crédito em Ethereum … vou mudar de carteira",0,2025-11-14T06:09:59-07:00
Nuno Filipe777,5,Nice,Very good app,0,2025-10-31T10:09:51-07:00
RykoFps,5,No problema at moment,Everthing ok,0,2025-10-28T06:57:31-07:00
Lucasmauricio,5,Meu app nao abre mais com meu dinheiro,Nao consigo mexer mais nessa atualizao alguem ai ta igual eu,0,2025-09-11T08:50:33-07:00
Lion santos,5,Muito bom sim,Legal,0,2025-08-26T14:13:39-07:00
Lann1%#,5,Aplicativo,Excelente interface e várias crípton e tokens,0,2025-08-21T22:01:15-07:00
MestreArqueiro,5,Auto custodian,"Without a doubt, one of the best wallets on the market, evolving every day toward the future of blockchain 📲",0,2025-08-01T04:41:14-07:00
Non ducor duco,1,Abusive taxes to buy and sell,"The taxes are more than 2% if you need to buy or sell, very disappointed with that.",0,2025-07-29T02:31:22-07:00
Douglaspl05,1,Taxas Imensas e Muita Burocracia,"Sinceramente a pior wallet que já vi na minha vida, pra transferir valores pra ela é cobrada uma taxa absurda, pra sacar de lá então é maior ainda, qualquer conversão de token/cripto precisa de ter um saldo mínimo de outra cripto derivada dela, e nisso que vc deposita vem as taxas absurdas de depósito, conversão e saque, tudo bem ter taxas, a empresa precisa lucrar, mas quase 30% do valor movimentado é putaria, vou perder um dinheiro absurdo pra sacar minhas criptos daí, mas nunca mais uso essa wallet novamente e não indico a ninguém",0,2025-06-21T12:43:29-07:00
Naza.j,5,Muito bom.,"Muito bom app, porém o processo de sincronização e restauração estão idênticos. Só aparece a opção de leitura do QR code, mas não exibe o QR.",0,2025-06-12T17:22:07-07:00
Nada a reclamar por enquanto,5,Por enquanto satisfatório,"Até agora excelente, mais d 1 ano sem me dar problemas , até aqui é segura 🫡🎖️",0,2025-06-11T09:57:20-07:00
Gustavo09423,5,Very good,Excelent,0,2025-06-10T12:58:59-07:00
wilou franco,1,Péssimo,"Uma das piore carteira que eu já utilizei, coloquei minhas criptomoedas nessa carteira e não consigo tirar",0,2025-05-24T09:09:22-07:00
Dangelord1,5,Top,Excelente,0,2025-05-22T22:02:15-07:00
dj Ronny moreno,5,Bem prático gostei,Até agora à mais prática,0,2025-05-16T08:17:34-07:00
EduLP1995,5,Fácil de usar,Muito intuitivo! Gostei!,0,2025-05-01T11:14:04-07:00
nandozaping,5,Excelente,"Essa atualização deixou mais textura nas linhas;
Ficou muito bom! Deu mais vida ao app!
PARABÉNS.",0,2025-04-09T15:32:03-07:00
Poeta DL,5,Bom demais!,Excepcional,0,2025-02-19T14:11:48-07:00
Rag.gnar,1,Estou com problemas,Preciso de ajuda urgente travou meus Usdt tron todas tentativas de transação da falha e o saldo não sai da carteira,0,2025-02-17T06:21:41-07:00
Anderson Fono,5,Excelente,Excelente,0,2025-02-05T03:36:10-07:00
Jota0@07,5,Ziq,"É bom mas poderiam melhorar na fluidez do app , e outros tipos de aparência como claro escuro",0,2025-01-26T13:36:38-07:00
Jjdoido,5,Sugestão,"Poderia ter a opção de ver o valor total em duas moedas diferentes ao mesmo tempo, por exemplo: USD/BRL seria legal.",0,2025-01-18T09:15:13-07:00
GabrielOMelhor,5,Ótimo,Muito bom,0,2025-01-13T10:06:59-07:00
Mayconpabx,5,Ótima Wallet,Wallet ótima! Só falta o 2FA Authenticator para ficar perfeita!,0,2025-01-03T07:13:00-07:00
andreydelorenzo,4,Melhor carteira com integração lightning-on chain,"É a melhor que eu achei até agora em relação à integração com outras carteiras que utilizam o lightning (coinos, por exemplo). A taxa de transferência não é absurda como em outras carteiras.
Reparei que apesar dessa integração, há uma boa diferença de cotação do bitcoin.",0,2025-01-03T04:08:18-07:00
Mailson Dias,5,Sensacional,Um dos melhores app para guardar cripto !,0,2025-01-01T08:25:44-07:00
Dessimoni86,5,Ótima,Ótima,0,2024-12-31T10:34:57-07:00
Osmarrj37,5,Gosto,Muito positivo,0,2024-12-25T10:18:55-07:00
Nathanfmelo,5,Muito bom,Muito fácil de usar e de entender,0,2024-12-18T18:01:04-07:00
Bigao59,5,Ótima Wallet,10,0,2024-12-16T16:31:43-07:00
Júlio Couceiro,5,Top,Muito bom,0,2024-12-12T11:06:56-07:00
