author,rating,title,content,votes,date
Divo64,4,Fundos com nome de criptomoedas,Não gostei. Comprei sendo fundos e aparece como criptomoeda,0,2025-12-08T17:26:51-07:00
Alex_deluna,5,Excelente,"Minha primeira experiência com criptos, investimentos e a MB é muito fácil de utilizar e empolgante!!",0,2025-12-04T22:01:31-07:00
Azul cor de mel,1,Enganação,"Para comprar Bitcoin tá em 500 mil e pra vender tá em 480 mil, que maluquice é essa ?",0,2025-12-03T07:29:12-07:00
Eudouglasss,1,Golpe,Que arrependimento mesmo eu sabendo a hora certa de entrar e de sair esse app rouba demais pior investimento que fiz em minha vida foi nesse app,0,2025-11-13T04:02:09-07:00
Josh Alves,1,Dificultam muito,"Dificultam as movimentações, e fazem de tudo para você não tirar seu dinheiro",0,2025-11-03T01:35:11-07:00
VitorSouza93,1,Suporte ao cliente pessimo,O suporte ao cliente desse aplicativo ignorou várias vezes as minhas mensagens não resolveu meu problema não entrou em contato comigo não me respondeu eu atualmente estou fora do país preciso do dinheiro pra poder me alimentar e ter onde morar eu já mandei e-mails já abri solicitações porém eles continuam ignorando eu já não sei mais o que fazer vou ter que contratar um advogado,0,2025-10-19T08:16:41-07:00
rafacassimiro,2,O filtro de criptos “com saldo” não está funcionando,..,0,2025-10-14T09:16:22-07:00
Lixoaplicativo 123,1,Lixo de plataforma,"Plataforma toda bugada , vai vender moeda nunca vende no preço certo , e na hora q vc precisa quando vai vender não tem valor disponível pra venda. Não investem nesse lixo",0,2025-10-14T06:07:16-07:00
chorao1,5,Bloqueio de tela,"Sempre acontece de logo após inserir a senha, abrir a tela do portfólio e trava escurecendo um pouco a tela e não funciona mais.
Sempre procura atualizar o app quando acontece isso, mas no momento na há mais atualizações e o problema persiste, não consigo fazer operações importantes",0,2025-10-06T06:42:49-07:00
VitorBotelho,5,Bons investimentos,Uma ótima opção para compor carteira de investimentos,0,2025-10-01T09:06:58-07:00
FSCfefas,3,Precisa de ajustes no layout o no modo negociação avançada,"Precisa melhorar a Negociação Pro e permitir a opção de usar “valor” ao invés de ser possível somente usando “quantidade de cripto”.
Precisa de um (i) refinamento no layout e design da negociação avançada, parece antiquado; (ii) melhorias de rapidez no aplicativo; (iii) consertar bug que demora para contabilizar os resultados em até 1h das cripto.",0,2025-09-25T21:10:01-07:00
7299347,2,Interessante mas sem organização,"Uma boa opção apenas para MENORES DE IDADE, pois as taxas são muito altas e os saques n funcionam.",0,2025-09-21T16:30:41-07:00
Breno Castro1@,5,App bem funcional,"Muito bom, pratico, simples e eficiente",0,2025-09-16T18:29:04-07:00
Jailson Ricardo,5,Ótimo,Muito bom,0,2025-09-16T05:52:47-07:00
LEIA ANTES DE INVESTIR,1,PÉSSIMO,"TAXA, mais alta que eu já vi, faz a venda para ver quanto sobra, tá pior que o taxad. Não recomendo.👎🏻👎🏻",0,2025-08-27T11:08:10-07:00
Lucas Generoso,5,Simples e Eficaz,"Aplicativo simples, intuitivo e eficaz, gostei muito.",0,2025-08-18T11:58:38-07:00
l21lourenco,5,Excelente,Muito fácil de usar,0,2025-08-12T04:30:15-07:00
Fox9106,5,Excelente app,Muito completo com gráficos complexos e com histórico e operações muito fáceis . Bem estável também e com opções boas de cestas inteligentes . Recomendo,0,2025-08-05T06:32:47-07:00
Robert4565,1,Não consigo aumentar limite PIX pra Saque entre minhas contas,"Quando entro no app pra aumentar o limite PIX de saque entre minhas contas, o app pede pra digitar o novo valor e fazer o reconhecimento facial. Depois que eu digito o novo valor e faço o reconhecimento facial, o app diz que o meu rosto foi aprovado, mas volta a pedir o reconhecimento facial várias vezes e o procedimento não é concluído.
Também quando logo no app fica pedindo pra cadastrar o PIN que já estava cadastrado.
PS: Como podem lançar um app horrível com bugs que ocorrem sempre, ou seja, implementam uma funcionalidade nova sem testar nenhuma vez.",0,2025-08-03T03:37:48-07:00
Kroplin,5,Gostando do aplicativo,"Hoje levei um susto,
Sumiu os Stakes",0,2025-07-24T08:14:09-07:00
l16c02,5,Esclarecer,"Ainda não estou bem familiarizado, porque 
só recebo alertas de compras e quando devo vender isso eu não sei.",0,2025-07-22T04:31:35-07:00
TheusMartins,4,Fluxo de criação de conta pode melhorar,"O botão no pé da tela não ficar no topo do teclado proporciona uma UX ruim, isso dito, app bem fluido e intuitivo",0,2025-07-21T14:03:00-07:00
Ryomen yagami,5,Excelente,"O melhor exchange para comprar cryptos com toda certeza, o app mais completo e mais simples pra investir em cryptos, criação de conta sem nenhum problema e sem muita burocracia, graças a Deus, muito obrigado, este app é incrível, parabéns aos criadores, aos usuários e a comunidade 🙏🙏🤩",0,2025-07-17T12:24:11-07:00
Bitcoin mercados,5,Mercado do Cesar,Muito bom,0,2025-07-12T04:42:18-07:00
Kapoerinho,1,Péssimo,Não consigo sacar o dinheiro e nem vender a cripto que já comprei. Uma verdadeira vergonha.,0,2025-07-11T14:02:10-07:00
felipebat22,2,Valores muito abaixo do mercado,Valores abaixo do mercado… ficam segurando a atualização dos valores… demoram muito… estou aguardando para sair dessa corretora….,0,2025-07-11T05:02:22-07:00
lmgjb64,1,Taxas elevadas que podiam ser mais claras,"Taxas do aplicativo podiam ser mais clara e menores, e a equipe de ajuda ruim e ineficiente.",0,2025-07-04T09:43:55-07:00
EPRltda,1,Horrível.,"Aplicativo horrível, toda transação dá como possível erro de perigo de fraude, etc., tem que ficar direto entrando em contato com o suporte para liberar, quando libera, demora séculos para resposta, não recomendo a ninguém.",0,2025-07-02T12:17:59-07:00
Alceu Conterato Junior,5,Elogio e recomendação,O BTG está de parabéns pelos seus canais para investimento.   Acredito que talvez  acresceria um canal para plataforma de negociação de câmbio,0,2025-06-28T19:09:17-07:00
Giresse Contini,5,Excelente!,"Alem de ótimas funcionalidades, produtos e rentabilidades excelentes",0,2025-06-28T12:07:47-07:00
eclampsium,2,Falta muita coisa,"App muito basico e faltam descrições de facil acesso dos valores que você comprou e vendeu, quanto lucrou… não ajuda muito na hora de declarar…",0,2025-06-25T18:13:01-07:00
pezeLa,1,Ilusai,"ELES TIRAM SEU RENDIMENTO NA TAXA DE SAQUE , nao compensa !",0,2025-06-23T11:00:08-07:00
