rank,sugestao,categoria,relevancia,tipo,termo_original,regiao,cliente,fonte_suggest
1,bitcoin hoje,a-z,1251,QUERY,BITCOIN,br,chrome,web
2,bitcoin dolar,a-z,1250,QUERY,BITCOIN,br,chrome,web
3,bitcoin hoje dólar,a-z,601,QUERY,BITCOIN,br,chrome,web
4,bitcoin usd,a-z,600,QUERY,BITCOIN,br,chrome,web
5,bitcoin hoje usd,a-z,560,QUERY,BITCOIN,br,chrome,web
6,bitcoin hoje real,a-z,559,QUERY,BITCOIN,br,chrome,web
7,bitcoin em real,a-z,558,QUERY,BITCOIN,br,chrome,web
8,bitcoin cotação,a-z,557,QUERY,BITCOIN,br,chrome,web
9,bitcoin agora,a-z,556,QUERY,BITCOIN,br,chrome,web
10,bitcoin hj,a-z,555,QUERY,BITCOIN,br,chrome,web
11,bitcoin price,a-z,554,QUERY,BITCOIN,br,chrome,web
12,bitcoin valor,a-z,553,QUERY,BITCOIN,br,chrome,web
13,bitcoin grafico,a-z,552,QUERY,BITCOIN,br,chrome,web
14,bitcoin preço,a-z,551,QUERY,BITCOIN,br,chrome,web
15,bitcoin price usd,a-z,550,QUERY,BITCOIN,br,chrome,web
